name,inhabitedSince,inhabitedUntil,name_local,civilizations,wikipedia,wikidata,link,desc,name.no,name.id,name.eo,name.bg,name.be,old_name,religion,denomination,name.ckb,description.hu,wiki.en,name.zh,inscription,historic.period,name.ka,description.de,name.ko,name.he3,url,access,layer,addr.city,name.ku,alt_name.ar,name.la,alt_name.el,website1,whc.inscription_date,whc.criteria,ref.whc,designation,name.ml,name.he1,name.ro,image_2,image_1,reference,name.hy,man_made,description.en,place,name.vi,name.tr,name.sl,name.pl,name.nl,name.mn,name.ja,name.fi,int_name,mapillary,alt_name.he,alt_name.en,name.hu,heritage,name.lt,historic.era,old_name.fr,image6,image5,image4,image2,wikipedia.en,start_date,site_type,short_name.cs,name.uk,name.sr,name.pt,name.it,name.es,name.ca,name.br,historic.civilization,alt_name.cs,name.en6,name.en5,name.he2,website,name.cs,name.en4,name.en3,natural,ele,name.ar1,name.en2,name.en1,image3,image1,image,description.he,description,name.fr,name.ar,name.he,name.en,name.ru,name.de,is_in,name.el,alt_name,name.pa,name.mr,name.kn,name.hi,name.gu,name.bn,wpt_description
בית הכנסת העתיק של מירון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,בית הכנסת העתיק של מירון,Old Meron Synagogue,,,,,,,,,,,,
תל גודד,,,,,he:תל גודד,Q7697539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,398,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Goded_IMG_5604.JPG,,,Tel Goded,,תל גודד,Goded mound,,,,,,,,,,,,
מערות המנורה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מערות המנורה,HaMenora Caves,,,,,,,,,,,,
Զվարթնոց տաճար,,,,,hy:Զվարթնոցի տաճար,Q17054090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,(ii)(iii),1011-006,,സ്വാർട്ട്നോട്ട്സ് കത്തീഡ്രൽ,,,,,,Զվարթնոց տաճար,,,locality,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Armenian,,,,,,,,,,,,,,,,,,,Cathédrale de Zvartnots,,,Zvartnots Cathedral,Храм Звартноц,,,,,,,,,,,
שער העיר הכנעני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://h4uh.com/tour_trip_attractions_events_field_country_journey/,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f6/Israel_Hiking_Map_שער_העיר_הכנעני_1.jpeg,https://upload.wikimedia.org/wikipedia/commons/7/75/Israel_Hiking_Map_שער_העיר_הכנעני.jpeg,"השער הכנעני: שער קשת כנעני, הקדום ביותר שהתגלה בעולם, משנת 1850 לפנה""ס.
 נבנה מלבני בוץ וכורכר. בנוי בצורת מסדרון מקומר באורך 15 מ', גובה 4 מ', רוחב 2 מ'. בשער עברו סוחרים, שיירות גמלים, עגלות שוורים וחמורים עמוסים בסחורה בדרך אל הנמל וממנו.","השער הכנעני: שער קשת כנעני, הקדום ביותר שהתגלה בעולם, משנת 1850 לפנה""ס.
 נבנה מלבני בוץ וכורכר. בנוי בצורת מסדרון מקומר באורך 15 מ', גובה 4 מ', רוחב 2 מ'. בשער עברו סוחרים, שיירות גמלים, עגלות שוורים וחמורים עמוסים בסחורה בדרך אל הנמל וממנו.",,,שער העיר הכנעני,Canaanite city gate,,,,,,,,,,,,
חורבת שקלון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,367,,,,,,,,,,,חורבת שקלון,Shiklon ruins,,,,,,,,,,,,
İvriz Kaya Anıtı,,,,,tr:İvriz,Q1404389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivriz rock reliefs,,Felsrelief von Ivriz,,,İvriz;Ivriz;Ibris,,,,,,,
בארות מים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,בארות מים,,,,,,,,,,,,,
מצד אבירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,סוף יום 1,סוף יום 1,,,מצד אבירים,Metzad Abirim,,,,,,,,,,,,
עזבת צרתה (אבן העזר),,,,,fr:Izbet Sartah,Q17347088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Izbet Sartah,,עזבת צרתה (אבן העזר),Izbet Sartah,,,,,,,,,,,,
אודיאון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/72/Israel_Hiking_Map_אודיאון.jpeg,אודיאון רומי (מעין תיאטרון קטן מידות) הנועד לשם הקראת שירה. כ 400 מושבים לכל היותר.,אודיאון רומי (מעין תיאטרון קטן מידות) הנועד לשם הקראת שירה. כ 400 מושבים לכל היותר.,,,אודיאון,Ancient Amphitheatre / Odeion,,,,,,,,,,,,
שער שלמה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solomon's gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שער שלמה,Israelite Gate,,,,,,,,,,,,
המקדשים הכנעניים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,המקדשים הכנעניים,Canaanite temples,,,,,,,,,,,,
השער הכנעני המאוחר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,השער הכנעני המאוחר,Later Canaanite gate,,,,,,,,,,,,
האורוות הדרומיות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,האורוות הדרומיות,The Southern Stables,,,,,,,,,,,,
השערים הכנעניים הקדומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,השערים הכנעניים הקדומים,Ancient Canaanite gate,,,,,,,,,,,,
בור איסום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,בור איסום,Granary,,,,,,,,,,,,
ארמון ישראלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ארמון ישראלי,Southern Israeli palace,,,,,,,,,,,,
הרובע האשורי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,הרובע האשורי,Assyrian quarter,,,,,,,,,,,,
"""הגלריה""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""הגלריה""",The gallery,,,,,,,,,,,,
הארמונות האשוריים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,הארמונות האשוריים,Assyrian Palace,,,,,,,,,,,,
האורוות הצפוניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,האורוות הצפוניות,The Northern Stables,,,,,,,,,,,,
ארמון כנעני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ארמון כנעני,Canaanite palace,,,,,,,,,,,,
אל-אחוואט,,,,,,Q1988646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahwat,,אל-אחוואט,Ahwat,,,,,,,,,,,,
השער הכנעני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Israel_Hiking_Map_%D7%94%D7%A9%D7%A2%D7%A8_%D7%94%D7%9B%D7%A0%D7%A2%D7%A0%D7%99.jpeg,,,,,השער הכנעני,,,,,,,,,,,,,
מבצר פלגרין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מבצר פלגרין,Pelegrin Fortress,,,,,,,,,,,,
מבצר דטרוא,,,,,he:מבצר דטרוא,Q1809843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tour du Détroit,,מבצר דטרוא,Le Destroit,,,,,,,,,,,,
בית הכנסת העתיק בית אלפא,,,,,he:בית הכנסת בבית אלפא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,בית הכנסת העתיק בית אלפא,Beit Alfa Ancient Synagogue,,,,,,,,,,,,
גבעת הכתובות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"בדופן הצפונית של נחל בארותיים נתגלו שתי כתובות נוצריות על סלע מושחם. בכתובת מוזכרים השמות: ""סטפאנוס בן וואבוס"" ו""יוסף בן אלמאז"" ולידם חרוטים צלבים.","בדופן הצפונית של נחל בארותיים נתגלו שתי כתובות נוצריות על סלע מושחם. בכתובת מוזכרים השמות: ""סטפאנוס בן וואבוס"" ו""יוסף בן אלמאז"" ולידם חרוטים צלבים.",,,גבעת הכתובות,,,,,,,,,,,,,
חורבת שוע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khirbat Umm el Lauz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,,,,,חורבת שוע,Hirbet Shua,,,,,,,,,,,,
מצודת הונין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/22/IHM_מצודת_הונין_4.jpeg,https://upload.wikimedia.org/wikipedia/commons/1/12/IHM_מצודת_הונין_2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/94/IHM_מצודת_הונין_3.jpeg,https://upload.wikimedia.org/wikipedia/commons/4/4c/IHM_מצודת_הונין_1.jpeg,https://upload.wikimedia.org/wikipedia/commons/c/c3/IHM_מצודת_הונין.jpeg,,,,,מצודת הונין,,,,,,,,,,,,,
טחונת אם רעי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,טחונת אם רעי,,,,,,,,,,,,,
Kilise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Église,,,Church,,frühchristliche Kirchenruine,,,,,,,,,,
Tomb of the Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enkomi,,,,,en:Enkomi,Q1343280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cellarka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Гробницы Челларка,,,,,,,,,,,
KING TOMBS ARCHEOLOGICAL PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Исторический музей Протараса,,,,,,,,,,,
בורות רמליה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/64/Israel_Hiking_Map_%D7%91%D7%95%D7%A8%D7%95%D7%AA_%D7%A8%D7%9E%D7%9C%D7%99%D7%94.jpeg,"בורות מים חצובים בגדה המערבית של הנחל
","בורות מים חצובים בגדה המערבית של הנחל
",,,בורות רמליה,Remalia water holes,,,,,,,,,,,,
מרחצאות רומיים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ancient_roman,,,,,,,,,,,,,,,,,,,,,מרחצאות רומיים,Roman Baths,,,,,,,,,,,,
Antiochia ad Cragum,,,,,en:Antiochia ad Cragum,Q579389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antiochia ad Cragum,,Antiochia am Kragos,,Αντιόχεια του Κράγου,Antiochetta;Antiochia Parva,,,,,,,
Antiochia Athena Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת ענים,,,,,he:חורבת ענים,Q4764711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinagoga de Anim,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/IHM_חורבת_ענים.jpeg,,,Anim synagogue,,חורבת ענים,Anim synagogue,,,,,,,,,,,,
תיאטרון רומי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ancient_roman,,,,,,,,,,,,,,,,,,,,,תיאטרון רומי,Roman Theater,,,,,,,,,,,,
ח'רבת ג'ומג'ום,,,,,he:ח'ירבת ג'ומג'ום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ח'רבת ג'ומג'ום,Khirbet DJumdjum,,,,,,,,,,,,
אריסטובוליה,,,,,he:חורבת אריסטובוליה,Q20502408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/96/IHM_אריסטובוליה_1.jpeg,https://upload.wikimedia.org/wikipedia/commons/0/01/IHM_אריסטובוליה.jpeg,,,,,אריסטובוליה,Aristobuliya,,,,,,,,,,,,
תל דודאים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל דודאים,Tel Dudaim,,,,,,,,,,,,
Roman Graves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קברות המכבים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קברות המכבים,Maccabi Tombs,,,,,,,,,,,,
קצר ברדוויל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קצר ברדוויל,,,,,,,,,,,,,
Akapnou ancient Venetian bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bridge,,,,,,,,,venetian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouleuterion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medieval town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fortification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
טחנת קמח המופעלת בכוח המים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,watermill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,טחנת קמח המופעלת בכוח המים,Water-Powered Flour Mill,,,,,,,,,,,,
יודפת העתיקה,,,,,,Q1517688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://landmarks.gov.il/%D7%99%D7%95%D7%93%D7%A4%D7%AA-%D7%94%D7%A2%D7%AA%D7%99%D7%A7%D7%94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jotapata,,יודפת העתיקה,Tel Yodfat,,,,,,,,,,,,
Khirbet al-Batrawy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antique tombs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadınca Höyük,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İmikuşağı Höyüğü,,,,,tr:İmikuşağı Höyüğü,Q6101616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mopsos Harabesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruin of Mopsuestia,,,,,"Mopsos, Seleukeia pros ton Pyramon, Mamistra, Hadriana, Decia",,,,,,,
נפח,,,,,he:כפר נפח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,נפח,Naffach,,,,,,,,,,,,
Sos Höyük,,,,,tr:Sos Höyük,Q6097131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ծիծեռնակաբերդ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ծիծեռնակաբերդ,,,,,,,,,,,,,,,,,,,,,,,,,Tsitsernakaberd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsitsernakaberd,Мемориальный комплекс Цицернакаберд,Schwalbenfestung,,,,,,,,,,
Nevali Çori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מי קדם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מי קדם,Mey Kedem,,,,,פארק אלונה - מי קדם,,,,,,,
קתדרלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,byzantine,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4d/Israel_Hiking_Map_קתדרלה.jpeg,קתדרלת העיר,קתדרלת העיר,,,קתדרלה,Cathedral,,,,,,,,,,,,
Domuztepe Höyüğü,,,,,tr:Domuztepe Höyüğü (Kahramanmaraş),Q4165990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive oil squeezer rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Giant's Walls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Giant's Walls,,,,,,,,,,,,
Yuvacalı Yerleşim Höyüğü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuvacalı Settlement Mound,,,,,,,,,,,,
Antiochia Termae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חירבת כסכס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חירבת כסכס,kaskas,,,,,,,,,,,,
חירבת משמש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חירבת משמש,mishmes,,,,,,,,,,,,
Triumphal arch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triumphal arch,,,,,,,,,,,,
جوزانة (ثقافة خلف),,,,,en:Tell Halaf,Q2142541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جوزانة (ثقافة خلف),,Gozana,Гузана (халафская культура),,,,,,,,,,,
تل موزان,,,,,ar:تل موزان,Q1758030,,,,,,,,,,,,,,,,,,,,,,,,,Girê Mozan-Orkiş,أوركيش,,,,,,,تل موزان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تل موزان,,,,,,,أوركيش,,,,,,,
Ain Diwar Bridge,,,,,en:Ain Diwar Bridge,Q4697337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ancient_roman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hititlilerden kalıntılar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
